Data;Entrada 1;Saída 1;Entrada 2;Saída 2
01/05/2024;08:01;12:00;13:00;18:01
02/05/2024;08:02;12:00;13:00;18:02
03/05/2024;08:03;12:00;13:00;18:03
06/05/2024;08:00;12:00;13:00;18:00
07/05/2024;08:01;12:00;13:00;18:01
08/05/2024;08:02;12:00;13:00;18:02
09/05/2024;08:03;12:00;13:00;18:03
10/05/2024;08:05;;;
13/05/2024;08:01;12:00;13:00;18:01
14/05/2024;08:02;12:00;13:00;18:02
15/05/2024;08:03;12:00;13:00;18:03
16/05/2024;08:04;12:00;13:00;18:04
17/05/2024;08:00;12:00;13:05;
20/05/2024;08:02;12:00;13:00;18:02
21/05/2024;08:03;12:00;13:00;18:03
22/05/2024;08:04;12:00;13:00;18:04
23/05/2024;;;;
24/05/2024;08:00;12:00;13:00;18:00
27/05/2024;08:03;12:00;13:00;18:03
28/05/2024;08:04;12:00;13:00;18:04
29/05/2024;08:05;12:00;13:00;18:05
30/05/2024;08:00;12:00;13:00;18:00
31/05/2024;08:01;12:00;13:00;18:01
